Colonie Seed = 123
ID=0,Sbj_Sungaya_inexpectata_43,Scale=0.850438
ID=1,Sbj_00501_atta_vollenweideri58,Scale=0.865087
ID=2,Sbj_00011_atta_vollenweideri78,Scale=0.896317
ID=3,Sbj_00011_atta_vollenweideri79,Scale=0.754991
ID=4,Sbj_Sungaya_inexpectata_44,Scale=0.9204
ID=5,Sbj_Pogonomyrmex_desertorum1176,Scale=0.953544
ID=6,Sbj_Pogonomyrmex_desertorum1177,Scale=0.875153
ID=7,Sbj_00501_atta_vollenweideri59,Scale=0.787675
ID=8,Sbj_00011_atta_vollenweideri80,Scale=0.582961
ID=9,Sbj_00501_atta_vollenweideri60,Scale=0.854007
